Name,Country,Industry,mvUsd
Amica SA,Poland,Consumer Discretionary,442418
Amicogen Inc,South Korea,Health Care,2318856
Amicus Therapeutics Inc,United States,Health Care,65935050
Amkor Technology Inc,United States,Technology,20371801
Amneal Pharmaceuticals Inc,United States,Health Care,5401656
Amorepacific Corp,South Korea,Consumer Discretionary,54997015
Amot Investments Ltd,Israel,Real Estate,898481
Amoy Diagnostics Co Ltd,China,Health Care,1903763
Amphenol Corp,United States,Technology,643239552
Amplifon SpA,Italy,Health Care,87771778
Ampol Ltd,Australia,Energy,132704177
Amundi SA,France,Financials,66690156
Amuse Inc,Japan,Consumer Discretionary,1988139
Amvis Holdings Inc,Japan,Health Care,10011520
Amylyx Pharmaceuticals Inc,United States,Health Care,3000340
Amyris Inc,United States,Basic Materials,2007473
Anadolu Efes Biracilik Ve Malt Sanayii AS,Turkey,Consumer Staples,27976575
Analog Devices Inc,United States,Technology,1020042207
Ananti Inc,South Korea,Consumer Discretionary,1742933
Ancom Nylex Bhd,Malaysia,Basic Materials,935301
Andersons Inc/The,United States,Consumer Staples,1063696
Andes Technology Corp,Taiwan,Technology,7591466
Andino Investment Holding SAA,Peru,Industrials,856833
Andromeda Metals Ltd,Australia,Basic Materials,1293045
Aneka Tambang Tbk,Indonesia,Basic Materials,9045739
Anest Iwata Corp,Japan,Industrials,2063182
Angang Steel Co Ltd,China,Basic Materials,4865819
Angel One Ltd,India,Financials,3470108
Angelalign Technology Inc,China,Health Care,10073505
AngioDynamics Inc,United States,Health Care,5385447
Anglo American PLC,United Kingdom,Basic Materials,1087111656
Anglo American Platinum Ltd,South Africa,Basic Materials,104827622
AngloGold Ashanti Ltd,South Africa,Basic Materials,159902125
Anheuser-Busch InBev SA/NV,Belgium,Consumer Staples,895348051
Anhui Expressway Co Ltd,China,Industrials,5499454
Anhui Gujing Distillery Co Ltd,China,Consumer Staples,33876098
Anhui Honglu Steel Construction Group Co Ltd,China,Basic Materials,7028092
Anhui Kouzi Distillery Co Ltd,China,Consumer Staples,5609806
Anhui Zhongding Sealing Parts Co Ltd,China,Industrials,23868890
Anicom Holdings Inc,Japan,Financials,13397431
Anima Holding SA,Brazil,Consumer Discretionary,3283438
Anima Holding SpA,Italy,Financials,32516123
Ann Joo Resources Bhd,Malaysia,Basic Materials,332642
Annaly Capital Management Inc,United States,Financials,80892202
